analist, pattern_name, step, vector, distance, metric, size, traj_size, path_size
-1, d22, 5, 0.30781250000000004, 1.8187499999999999, 0.5598339843750001, 691, 64, 32
-1, e31, 5, 0.19999999999999998, 1.9981481481481485, 0.39962962962962967, 432, 54, 27
-1, e32, 5, 0.07758620689655173, 1.8379310344827586, 0.14259809750297267, 443, 58, 29
-1, e33, 5, 0.14482758620689656, 1.9120689655172414, 0.2769203329369798, 421, 58, 29
-1, e34, 5, 0.246875, 1.9156250000000001, 0.47291992187500004, 455, 64, 32
-1, h3, 5, 0.17258064516129032, 1.8580645161290326, 0.32066597294484916, 393, 62, 31
-1, v3, 5, 0.17500000000000004, 1.6437499999999998, 0.28765625000000006, 505, 64, 32
-1, d31, 5, 0.24166666666666664, 2.122222222222222, 0.5128703703703702, 213, 36, 18
-1, d32, 5, 0.2777777777777778, 1.8825396825396825, 0.5229276895943563, 270, 42, 21
-1, h3e1, 5, 0.35172413793103446, 1.8275862068965514, 0.6428061831153388, 518, 58, 29
-1, h3e2, 5, 0.275, 1.8077777777777777, 0.4971388888888889, 502, 59, 29
-1, h3e3, 5, 0.31935483870967746, 1.9451612903225806, 0.6211966701352758, 478, 57, 26
-1, v3e1, 5, 0.013978494623655914, 1.5564516129032258, 0.021756850502948316, 646, 62, 31
-1, v3e2, 5, 0.34375000000000006, 1.9125, 0.6574218750000002, 643, 64, 32
-1, v3e3, 5, 0.06290322580645161, 1.9064516129032258, 0.11992195629552549, 639, 62, 31
-1, vh2e1, 5, 0.21481481481481482, 1.6296296296296298, 0.35006858710562416, 266, 36, 18
-1, vh2e2, 5, 0.12873563218390807, 1.8344827586206895, 0.23616329766151412, 361, 57, 28
-1, vh2e3, 5, 0.005172413793103422, 1.8321839080459772, 0.009476813317479144, 482, 56, 27
1, v2, 5, 0.4303030303030303, 1.5696969696969696, 0.67544536271809, 750, 66, 33
1, h2, 5, 0.3657142857142857, 1.3314285714285712, 0.48692244897959175, 735, 68, 33
1, d21, 5, 0.3375, 1.475, 0.49781250000000005, 644, 64, 32
1, d22, 5, 0.6125, 1.4875, 0.9110937500000001, 691, 64, 32
1, e31, 5, 0.3851851851851852, 1.6296296296296295, 0.6277091906721536, 432, 54, 27
1, e32, 5, 0.3724137931034483, 1.5310344827586209, 0.570178359096314, 443, 58, 29
1, e33, 5, 0.29425287356321844, 1.5793103448275863, 0.46471660721363467, 421, 58, 29
1, e34, 5, 0.38749999999999996, 1.6375, 0.6345312499999999, 455, 64, 32
1, h3, 5, 0.432258064516129, 1.738709677419355, 0.7515712799167534, 393, 62, 31
1, v3, 5, 0.2260416666666667, 1.553125, 0.3510709635416667, 505, 64, 32
1, d31, 5, 0.6675925925925926, 2.0092592592592595, 1.3413665980795613, 213, 36, 18
1, d32, 5, 0.4428571428571429, 1.580952380952381, 0.7001360544217688, 270, 42, 21
1, h3e1, 5, 0.6551724137931034, 1.7310344827586208, 1.134126040428062, 518, 58, 29
1, h3e2, 5, 0.42666666666666664, 1.7211111111111115, 0.7343407407407408, 502, 59, 29
1, h3e3, 5, 0.6967741935483871, 1.8193548387096776, 1.2676795005202914, 478, 57, 26
1, v3e1, 5, 0.27096774193548384, 1.508064516129032, 0.40863683662851186, 646, 62, 31
1, v3e2, 5, 0.30625, 1.6875, 0.516796875, 643, 64, 32
1, v3e3, 5, 0.022580645161290314, 1.3344086021505375, 0.030131807145334706, 639, 62, 31
1, vh2e1, 5, 0.462037037037037, 1.3064814814814814, 0.6036428326474622, 266, 36, 18
1, vh2e2, 5, 0.47586206896551725, 1.5103448275862068, 0.7187158145065398, 361, 57, 28
1, vh2e3, 5, 0.3563218390804598, 1.4080459770114941, 0.5017175320385784, 482, 56, 27
